,Date,Year,Type,Country,Area,Location,Activity,Injury,Fatal,Time,Species,address,Latitude,Longitude
2101,31-Dec-1950,1950.0,Unprovoked,AUSTRALIA,Queensland,Kirra,sailing,"no injury, shark bit oar",No,,"nurse shark, 10'","Kirra,Queensland,AUSTRALIA",-28.1676805,153.5295271
2102,Reported 19-Dec-1950,1950.0,Unprovoked,AUSTRALIA,New South Wales,Jervis Bay,swimming,legs nipped,No,,"wobbegong shark, 6'","Jervis Bay,New South Wales,AUSTRALIA",-35.05686625,150.72630012641693
2103,29-Nov-1950,1950.0,Provoked,AUSTRALIA,Northern Territory,Goulburn Island,diving,"minor injury to hand and groin from shark ""caught on his fishing spear"" provoked incident",No,,2' shark,"Goulburn Island,Northern Territory,AUSTRALIA",-11.5945074,133.4549147
2104,12-Nov-1950,1950.0,Boating,AUSTRALIA,Queensland,Yeppoon,sailing,"no injury to occupants, shark holed canoet",No,,10' shark,"Yeppoon,Queensland,AUSTRALIA",-23.1348035,150.7436625
2105,28-Oct-1950,1950.0,Unprovoked,USA,California,"Imperial Beach, San Diego County",surfing,right leg lacerated,No,12h00,white shark,"Imperial Beach, San Diego County,California,USA",32.5839444,-117.1130849
2106,Reported 27-Jul-1950,1950.0,Boating,AUSTRALIA,South Australia,Streaky Bay,fishing,no injury to occupants,No,,17' white shark,"Streaky Bay,South Australia,AUSTRALIA",-32.73812475,134.6157553886796
2107,1950.07.19,1950.0,Provoked,ITALY,Savona,Albenga,fishing,harpooned shark bit his forehead provoked incident,No,,,"Albenga,Savona,ITALY",44.0492503,8.2131239
2108,10-Jul-1950,1950.0,Unprovoked,USA,Texas,Near Port Arthur,swimming,laceration to leg,No,,hammerhead shark,"Near Port Arthur,Texas,USA",29.422484,-94.692432
2109,Jul-1950,1950.0,Unprovoked,USA,Florida,"Rock Harbor, Key Largo, Monroe County",diving,shallow lacerations on back of right thigh,No,,0.7 m [2.5'] shark,"Rock Harbor, Key Largo, Monroe County,Florida,USA",25.0767814,-80.4602875
2110,24-May-1950,1950.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Port Edward,other,left foot bitten,No,10h30,,"Port Edward,KwaZulu-Natal,SOUTH AFRICA",-31.055931,30.222749
2111,09-Apr-1950,1950.0,Sea Disaster,AUSTRALIA,Queensland,Cooper's Point,fishing,fatal,Yes,,,"Cooper's Point,Queensland,AUSTRALIA",-27.5691456,153.0337453
2112,08-Mar-1950,1950.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",fishing,fatal,Yes,18h50,,"North Beach, Durban,KwaZulu-Natal,SOUTH AFRICA",-29.8467091,31.035285842256584
2113,11-Feb-1950,1950.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",surfing,"fatal, body not recovered",Yes,14h30,"white shark, 3.7 m [12']  according to witnesses","South Beach, Durban,KwaZulu-Natal,SOUTH AFRICA",-29.8620274,31.037410200593246
2114,Reported 12-Jan-1950,1950.0,Unprovoked,AUSTRALIA,Victoria,South Werribee Beach,swimming,3 lacerations to heel,No,,,"South Werribee Beach,Victoria,AUSTRALIA",-37.9740012,144.6925079
2115,1950,1950.0,Boating,AUSTRALIA,Tasmania,Triabunna,fishing,"no injury to occupant, shark bit side of dinghy",No,,"white shark, 3.6 m,  420 kg male","Triabunna,Tasmania,AUSTRALIA",-42.504035,147.9139308
